language,predicted,reference,count
bn,FORMAL,FORMAL,25
bn,FAMILIAR,FAMILIAR,25
bn,INTIMATE,INTIMATE,23
bn,INTIMATE,NEUTRAL,2
bn,NEUTRAL,FORMAL,1
bn,NEUTRAL,NEUTRAL,24
bn,AMBIGUOUS,FAMILIAR,2
bn,AMBIGUOUS,NEUTRAL,19
bn,AMBIGUOUS,AMBIGUOUS,4
bn,MIXED,FORMAL,4
bn,MIXED,FAMILIAR,15
bn,MIXED,MIXED,3
hi,FORMAL,FORMAL,26
hi,FAMILIAR,FAMILIAR,24
hi,FAMILIAR,NEUTRAL,1
hi,INTIMATE,INTIMATE,16
hi,NEUTRAL,FORMAL,1
hi,NEUTRAL,NEUTRAL,32
hi,AMBIGUOUS,FAMILIAR,3
hi,AMBIGUOUS,INTIMATE,1
hi,AMBIGUOUS,NEUTRAL,20
hi,AMBIGUOUS,AMBIGUOUS,2
hi,MIXED,MIXED,24
